| table_schema | table_name                      | column_name                   | data_type                   | is_nullable | column_default                                             |
| ------------ | ------------------------------- | ----------------------------- | --------------------------- | ----------- | ---------------------------------------------------------- |
| public       | access_groups                   | id                            | integer                     | NO          | nextval('access_groups_id_seq'::regclass)                  |
| public       | access_groups                   | group_name                    | text                        | NO          | null                                                       |
| public       | access_groups                   | group_description             | text                        | YES         | null                                                       |
| public       | access_groups                   | security_level                | text                        | YES         | 'internal'::text                                           |
| public       | access_groups                   | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | access_groups                   | updated_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | admin_user_groups               | admin_user_id                 | uuid                        | NO          | null                                                       |
| public       | admin_user_groups               | group_id                      | integer                     | NO          | null                                                       |
| public       | admin_user_groups               | assigned_at                   | timestamp with time zone    | YES         | now()                                                      |
| public       | admin_user_groups               | assigned_by                   | uuid                        | YES         | null                                                       |
| public       | admin_users                     | id                            | uuid                        | NO          | gen_random_uuid()                                          |
| public       | admin_users                     | email                         | character varying           | NO          | null                                                       |
| public       | admin_users                     | name                          | character varying           | NO          | null                                                       |
| public       | admin_users                     | role                          | character varying           | YES         | 'admin'::character varying                                 |
| public       | admin_users                     | is_active                     | boolean                     | YES         | true                                                       |
| public       | admin_users                     | last_login                    | timestamp with time zone    | YES         | null                                                       |
| public       | admin_users                     | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | admin_users                     | updated_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | ai_inference_results            | id                            | integer                     | NO          | nextval('ai_inference_results_id_seq'::regclass)           |
| public       | ai_inference_results            | part_id                       | character varying           | NO          | null                                                       |
| public       | ai_inference_results            | accuracy                      | numeric                     | NO          | null                                                       |
| public       | ai_inference_results            | detected_parts                | integer                     | NO          | 0                                                          |
| public       | ai_inference_results            | processing_time               | integer                     | NO          | 0                                                          |
| public       | ai_inference_results            | predictions                   | jsonb                       | YES         | null                                                       |
| public       | ai_inference_results            | timestamp                     | timestamp with time zone    | YES         | now()                                                      |
| public       | ai_inference_results            | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | ai_performance_logs             | id                            | integer                     | NO          | nextval('ai_performance_logs_id_seq'::regclass)            |
| public       | ai_performance_logs             | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | ai_performance_logs             | overall_accuracy              | numeric                     | YES         | null                                                       |
| public       | ai_performance_logs             | top1_accuracy                 | numeric                     | YES         | null                                                       |
| public       | ai_performance_logs             | false_positive_rate           | numeric                     | YES         | null                                                       |
| public       | ai_performance_logs             | avg_latency                   | numeric                     | YES         | null                                                       |
| public       | ai_performance_logs             | model_version                 | character varying           | YES         | null                                                       |
| public       | ai_performance_logs             | dataset_size                  | integer                     | YES         | null                                                       |
| public       | ai_performance_logs             | test_duration                 | numeric                     | YES         | null                                                       |
| public       | ai_performance_logs             | memory_usage                  | numeric                     | YES         | null                                                       |
| public       | ai_performance_logs             | gpu_utilization               | numeric                     | YES         | null                                                       |
| public       | ai_performance_logs             | notes                         | text                        | YES         | null                                                       |
| public       | auto_recovery_dashboard         | category                      | text                        | YES         | null                                                       |
| public       | auto_recovery_dashboard         | total_qa_checks               | bigint                      | YES         | null                                                       |
| public       | auto_recovery_dashboard         | successful_checks             | bigint                      | YES         | null                                                       |
| public       | auto_recovery_dashboard         | failed_checks                 | bigint                      | YES         | null                                                       |
| public       | auto_recovery_dashboard         | overall_success_rate          | numeric                     | YES         | null                                                       |
| public       | auto_recovery_dashboard         | avg_ssim                      | numeric                     | YES         | null                                                       |
| public       | auto_recovery_dashboard         | avg_snr                       | numeric                     | YES         | null                                                       |
| public       | auto_recovery_dashboard         | avg_sharpness                 | numeric                     | YES         | null                                                       |
| public       | auto_recovery_dashboard         | avg_reprojection_error        | numeric                     | YES         | null                                                       |
| public       | auto_training_logs              | id                            | integer                     | NO          | nextval('auto_training_logs_id_seq'::regclass)             |
| public       | auto_training_logs              | log_type                      | character varying           | NO          | null                                                       |
| public       | auto_training_logs              | message                       | text                        | NO          | null                                                       |
| public       | auto_training_logs              | data                          | jsonb                       | YES         | null                                                       |
| public       | auto_training_logs              | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | auto_training_stats             | id                            | integer                     | NO          | nextval('auto_training_stats_id_seq'::regclass)            |
| public       | auto_training_stats             | date                          | date                        | NO          | null                                                       |
| public       | auto_training_stats             | total_training_runs           | integer                     | YES         | 0                                                          |
| public       | auto_training_stats             | successful_runs               | integer                     | YES         | 0                                                          |
| public       | auto_training_stats             | failed_runs                   | integer                     | YES         | 0                                                          |
| public       | auto_training_stats             | total_data_processed          | integer                     | YES         | 0                                                          |
| public       | auto_training_stats             | average_performance           | numeric                     | YES         | 0.0                                                        |
